Cust ID,Name,Company,Address 1,Address 2,City,State,Zip,Date Received,Date Reported,Lab No,Results For,Sample ID 1,Sample ID 2,Phosphorus M3 ppm P,Total P,Ward_ID,Sample_ID,Domestication,Fertilization,Harvest_Stage,Replicate
82059,MARY DIXON,CSU,1173 CAMPUS DELIVERY ,200 W LAKE ST,FORT COLLINS,CO,80523-1173,7/10/2025 5:00,7/14/2025 5:00,65650,MARY DIXON,,1,41,530,1,2,Wild,Fertilized,Seedling,3
82059,MARY DIXON,CSU,1173 CAMPUS DELIVERY ,200 W LAKE ST,FORT COLLINS,CO,80523-1173,7/10/2025 5:00,7/14/2025 5:00,65651,MARY DIXON,,2,27,560,2,3,Wild,Fertilized,Seedling,4
82059,MARY DIXON,CSU,1173 CAMPUS DELIVERY ,200 W LAKE ST,FORT COLLINS,CO,80523-1173,7/10/2025 5:00,7/14/2025 5:00,65652,MARY DIXON,,3,29,510,3,4,Wild,Fertilized,Seedling,5
82059,MARY DIXON,CSU,1173 CAMPUS DELIVERY ,200 W LAKE ST,FORT COLLINS,CO,80523-1173,7/10/2025 5:00,7/14/2025 5:00,65653,MARY DIXON,,4,31,550,4,5,Wild,Fertilized,Seedling,6
82059,MARY DIXON,CSU,1173 CAMPUS DELIVERY ,200 W LAKE ST,FORT COLLINS,CO,80523-1173,7/10/2025 5:00,7/14/2025 5:00,65654,MARY DIXON,,5,27,500,5,6,Wild,Fertilized,Early_Vegetative,1
82059,MARY DIXON,CSU,1173 CAMPUS DELIVERY ,200 W LAKE ST,FORT COLLINS,CO,80523-1173,7/10/2025 5:00,7/14/2025 5:00,65655,MARY DIXON,,6,33,820,6,110,Wild,Fertilized,Late_Flower,6
82059,MARY DIXON,CSU,1173 CAMPUS DELIVERY ,200 W LAKE ST,FORT COLLINS,CO,80523-1173,7/10/2025 5:00,7/14/2025 5:00,65656,MARY DIXON,,7,36,720,7,9,Wild,Fertilized,Early_Vegetative,5
82059,MARY DIXON,CSU,1173 CAMPUS DELIVERY ,200 W LAKE ST,FORT COLLINS,CO,80523-1173,7/10/2025 5:00,7/14/2025 5:00,65657,MARY DIXON,,8,347,810,8,10,Wild,Fertilized,Early_Vegetative,6
82059,MARY DIXON,CSU,1173 CAMPUS DELIVERY ,200 W LAKE ST,FORT COLLINS,CO,80523-1173,7/10/2025 5:00,7/14/2025 5:00,65658,MARY DIXON,,9,34,820,9,13,Wild,Fertilized,Late_Vegetative,5
82059,MARY DIXON,CSU,1173 CAMPUS DELIVERY ,200 W LAKE ST,FORT COLLINS,CO,80523-1173,7/10/2025 5:00,7/14/2025 5:00,65659,MARY DIXON,,10,25,970,10,14,Wild,Fertilized,Late_Vegetative,6
82059,MARY DIXON,CSU,1173 CAMPUS DELIVERY ,200 W LAKE ST,FORT COLLINS,CO,80523-1173,7/10/2025 5:00,7/14/2025 5:00,65660,MARY DIXON,,11,34,1040,11,15,Wild,Fertilized,Early_Flower,1
82059,MARY DIXON,CSU,1173 CAMPUS DELIVERY ,200 W LAKE ST,FORT COLLINS,CO,80523-1173,7/10/2025 5:00,7/14/2025 5:00,65661,MARY DIXON,,12,53,950,12,16,Wild,Fertilized,Early_Flower,2
82059,MARY DIXON,CSU,1173 CAMPUS DELIVERY ,200 W LAKE ST,FORT COLLINS,CO,80523-1173,7/10/2025 5:00,7/14/2025 5:00,65662,MARY DIXON,,13,33,670,13,17,Wild,Fertilized,Early_Flower,3
